time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),shortwave_radiation_sum (MJ/m²),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),windspeed_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm)
1/1/2019,26.2,10,18.2,17.4,0,0,0,10.1,131,3.73
1/2/2019,27,13.5,20.1,17.27,0,0,0,10.2,325,3.65
1/3/2019,26,12.2,18.7,17.38,0,0,0,10.5,40,3.67
1/4/2019,26.3,11.5,18.7,17.34,0,0,0,10.2,109,3.73
1/5/2019,27.5,13,19.6,16.77,0,0,0,12.5,189,3.88
1/6/2019,25.3,12,18.1,17.42,0,0,0,12.6,323,3.83
1/7/2019,22.3,10.9,16.1,17.8,0,0,0,14.5,28,3.46
1/8/2019,22.7,9.7,16.1,17.63,0,0,0,11.2,61,2.88
1/9/2019,23.6,9.5,16.3,17.58,0,0,0,9.4,50,3.29
1/10/2019,23.6,10.2,16.6,17.81,0,0,0,10.8,71,3.37
1/11/2019,24.8,10.5,17.6,17.59,0,0,0,10.5,84,3.48
1/12/2019,26,12.3,19.1,17.34,0,0,0,10.5,92,3.3
1/13/2019,26.1,11.9,18.8,17.66,0,0,0,15,30,3.64
1/14/2019,24.1,12.9,18,17.93,0,0,0,15.5,39,3.85
1/15/2019,24.4,10.4,17.1,18.31,0,0,0,10.7,57,3.56
1/16/2019,26.3,10.3,18.1,18.34,0,0,0,10.4,111,3.82
1/17/2019,27.2,13.4,19.8,18.2,0,0,0,9.2,81,3.7
1/18/2019,26.9,12.6,19.5,18.27,0,0,0,11.2,65,4.07
1/19/2019,27.5,12.1,19.6,18.49,0,0,0,11.4,103,4.36
1/20/2019,29.3,12.6,20.7,18.58,0,0,0,10.3,148,4.55
1/21/2019,29.1,15,21.9,17.63,0,0,0,21.9,192,5.07
1/22/2019,25.5,14.3,20.2,17.23,0,0,0,17.6,261,3.92
1/23/2019,24.6,12.4,18.8,17.84,0,0,0,8.2,346,3.49
1/24/2019,24.8,13.4,18.9,17.42,0,0,0,12.6,41,3.56
1/25/2019,21.9,12.4,16.7,14.79,0,0,0,17.6,14,3.04
1/26/2019,20.7,11,15.4,16.79,0,0,0,21.1,34,3.14
1/27/2019,20.6,9.5,14.6,19.2,0,0,0,15.8,32,3.89
1/28/2019,20.3,8.7,14,19.65,0,0,0,17.4,35,3.96
1/29/2019,20.9,7.8,14.1,19.85,0,0,0,13.5,50,3.81
1/30/2019,23.2,7.4,15.3,19.61,0,0,0,11.5,96,3.86
